video_id,video_title,description,channel_id,channel_name,channel_subscriber_count,channel_video_count,published_at,duration_sec,video_format,view_count,like_count,comment_count,video_url,matched_perf_id,matched_title,matched_genre,season_match,substring_hit,quote_hit,venue_match,date_match
JI1FpRzOxqA,국립국악관현악단 2023 윈터 콘서트,국립국악관현악단 '2023 윈터 콘서트' 2023.12.16.(토)~12.17.(일) 국립극장 하늘 국립극장 예매 바로 가기 ...,UC-Yd4HrryydbIx0ctY4gt-g,국립국악관현악단,4470,229,2023-12-05T01:35:11Z,21,shorts,415,,0,https://www.youtube.com/watch?v=JI1FpRzOxqA,PF269544,"국립국악관현악단, 윈터 콘서트",한국음악(국악),current_season,True,False,True,False
uFUbkB5xtkA,[길병민 ByeongMin Gil] 231216 국립국악관현악단 2023윈터콘서트 커튼콜,길병민 #gilbyeongmin #이지혜 #김문정 #하늘극장 #팬텀싱어3 #오히려좋아 #국립극장 #미스터길 #트롯길 #음악의길#미스터트롯2 ...,UCk0JFRYWvLgX9VjMJl0yiCg,dreamroad,4620,730,2023-12-16T13:07:12Z,96,general,1421,70,2,https://www.youtube.com/watch?v=uFUbkB5xtkA,PF269544,"국립국악관현악단, 윈터 콘서트",한국음악(국악),current_season,True,False,True,False
tKYzPUOrT7k,[길병민 ByeongMin Gil] 231217 국립국악관현악단 2023 윈터콘서트 앵콜 및 커튼콜,길병민 #gilbyeongmin #이지혜 #김문정 #하늘극장 #팬텀싱어3 #오히려좋아 #국립극장 #미스터길 #트롯길 #음악의길#미스터트롯2 ...,UCk0JFRYWvLgX9VjMJl0yiCg,dreamroad,4620,730,2023-12-18T01:13:43Z,308,general,1435,51,1,https://www.youtube.com/watch?v=tKYzPUOrT7k,PF269544,"국립국악관현악단, 윈터 콘서트",한국음악(국악),current_season,True,False,True,False
IMa-arLRRfU,251224 국립국악관현악단 - 신뱃놀이(윈터 콘서트),"251224 국립국악관현악단, 서울 페스타 필하모닉 오케스트라 - 신뱃놀이 국립국악관현악단 2025 윈터 콘서트 국립극장 해오름극장 ...",UChGrpfCtIRpQTdBZFYomMvw,치즈 그로밋,37,82,2025-12-25T00:34:53Z,60,shorts,59,6,0,https://www.youtube.com/watch?v=IMa-arLRRfU,PF269544,"국립국악관현악단, 윈터 콘서트",한국음악(국악),current_season,True,False,True,True
xW1WucGB0C8,"231216 국립국악관현악단, 길병민, 이지혜-All I want for christmas is you(2023 윈터 콘서트)",231216 국립국악관현악단-All I want for christmas is you 국립국악관현악단 2023 윈터 콘서트 국립극장 하늘극장 #국립국악 ...,UChGrpfCtIRpQTdBZFYomMvw,치즈 그로밋,37,82,2025-02-12T06:00:20Z,50,shorts,441,18,1,https://www.youtube.com/watch?v=xW1WucGB0C8,PF269544,"국립국악관현악단, 윈터 콘서트",한국음악(국악),current_season,True,False,True,False
NB1Fmd9oZpM,[25.02.28.] 대구시민주간 2.28민주운동 65주년 〈대구시립교향악단 특별연주회 : 역사적 순간들〉,[25.02.28.] 대구시민주간 2.28민주운동 65주년 〈대구시립교향악단 특별연주회 : 역사적 순간들〉 공연장소 대구콘서트하우스 ...,UCjTlbWQ2QLF5u6C9KCO1pbg,대구 공연 정보,980,4316,2025-01-21T12:41:52Z,18,shorts,45,1,0,https://www.youtube.com/watch?v=NB1Fmd9oZpM,PF257683,"대구시민주간 2.28민주운동 65주년, 대구시립교향악단 특별연주회: 역사적 순간들",서양음악(클래식),current_season,True,False,True,True
K7DC1J90M4Q,2024 대전시립연정국악원 K예술축제 아.우.름 - 아하!강아지똥,,UCequUuR1p0YsgA5S42b9P9w,극단모시는사람들,74,18,2024-08-13T06:38:20Z,31,shorts,79,2,0,https://www.youtube.com/watch?v=K7DC1J90M4Q,PF245072,"K-예술축제 아.우.름, 아하! 강아지똥",연극,current_season,True,False,True,True
EFEOugEr4n4,🎄🎄🎄크리스마스 콘서트🎄🎄🎄,클래식은티예무​ #TV예술무대 #tvartshow #MBC #크리스마스 크리스마스 콘서트 02:10 크리스마스 메들리 ...,UCAQQfjGwBLlW9enkLTKL0ew,TV예술무대,250000,504,2025-12-19T10:00:11Z,4510,general,23426,988,33,https://www.youtube.com/watch?v=EFEOugEr4n4,PF279599,국립심포니콘서트오케스트라: 크리스마스 콘서트 [세종],서양음악(클래식),current_season,True,False,False,True
1a2yKdQ9b8E,Dukas &quot;The Sorcerer&#39;s Apprentice&quot; (Gwacheon Symphony Orchestra) 뒤카 &quot;마법사의 제자&quot; (과천시립교향악단),과천시립교향악단 제52회 기획연주회 2018 신년음악회 2018.1.19. 과천시민회관 대극장 지휘_서진 Paul DUKAS The Sorcerer's ...,UCXjQ1EF515VNuNV77IROVhw,과천시립교향악단,739,84,2020-06-25T08:26:41Z,796,general,935,8,0,https://www.youtube.com/watch?v=1a2yKdQ9b8E,PF282737,"과천시립교향악단 콘서트시리즈1, 신년음악회",서양음악(클래식),current_season,True,False,True,False
d7T5oy-ENGA,세빌리아의 이발사 오산공연 커튼콜.. #김숙영 #오페라 #연출가 #세빌리아의이발사,2024 공연예술유통 공모사업 오산문화예술회관 안녕하세요 김숙영입니다 오늘 컨디션이 조금 안 좋아서요 드디어 올 것이 왔습니다 ...,UClitSGqUOnU8cooEikS34cg,김숙영의 무대 이야기,383,45,2024-09-10T05:01:50Z,721,general,356,27,9,https://www.youtube.com/watch?v=d7T5oy-ENGA,PF245308,세빌리아의 이발사 [오산],서양음악(클래식),current_season,True,False,True,True
