video_id,comment_id,author,text,like_count,published_at
QYi4h3V3Fwk,UgwI6S8q6DdvurTxnLN4AaABAg,@The_guilty_will_know_agony,너무나도 익숙한 노래와 너무나 익숙한 영상 참으로 귀하구나,227,2024-02-27T09:57:49Z
QYi4h3V3Fwk,Ugwgx_omTlUGRiesFRR4AaABAg,@aria_bell,칼박에 영상 씽크가 카타르시스  절정임ㅋㅋㅋ,144,2024-02-27T12:51:43Z
QYi4h3V3Fwk,UgxvvGpc7R-KovGZsL94AaABAg,@types467,느슨해진 클래식씬에 긴장감을 주는 약빤 편집자..,52,2024-05-25T17:46:21Z
QYi4h3V3Fwk,UgyfZP-tHbYO_Tc4p0h4AaABAg,@ekekejej-b8s,수신료 드려야 하나요 아니면 멤버십 가입이 더 좋으신가요?ㅋㅋㅋㅋ,83,2024-05-24T04:29:06Z
QYi4h3V3Fwk,Ugx2-ly4SMuoDqvU-KJ4AaABAg,@setha2527,어릴때 합성물을 만들던 아이들은 커서 KBS자료로 합성물을 만들기 시작했습니다,23,2024-05-30T10:51:04Z
QYi4h3V3Fwk,UgzaPJZOI3k_C32tI3d4AaABAg,@joonp8636,합필갤에서 놀던 애들이 사회생활을 시작하니 이렇게 되는구나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,20,2024-03-21T14:55:04Z
QYi4h3V3Fwk,UgxDZ39ia3EoiUiJdst4AaABAg,@친절한로아씨,오늘도 열일 하시는 궁예느님 편집 누가했는지 감동이 밀려옵니다,68,2024-02-27T09:24:51Z
QYi4h3V3Fwk,UgxKpKb6CnZcIyzBnFx4AaABAg,@무명0357,공영방송 내에 첩자가 있는거같아요,186,2024-05-24T22:08:25Z
QYi4h3V3Fwk,UgzSgkeE9chP1SrNsMB4AaABAg,@afad5851,ㄹㅇ 수신료안아까운영상이다,20,2024-02-27T11:34:47Z
QYi4h3V3Fwk,UgyW31LsCQGVz35ZLvp4AaABAg,@Iceland_Siglufjordur,한 대 맞은 기분으로 멍하니 보다가 마지막에 정명훈이 왜 불청객처럼 보이는 건데. ㅋㅋㅋㅋㅋ,15,2024-05-20T07:19:51Z
QYi4h3V3Fwk,Ugz573d7a_RbUdTBBUZ4AaABAg,@norsoncw701,충주맨이 쏘아올린 겁나 큰 스노우볼...ㅋㅋㅋㅋㅋㅋㅋ🤣🤣,20,2024-05-23T15:32:58Z
QYi4h3V3Fwk,UgwB9X-Tl0rjlqhqcuB4AaABAg,@godruizhen,아니 공식이었엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 겁나 유쾌하네,12,2024-06-06T22:01:34Z
QYi4h3V3Fwk,UgytHbfznFCbq10sjsB4AaABAg,@민들레-n3y,"저작권 침해에 대항하는 유일한 수단
이쪽도 저작권을 가지면 되는 것이다",16,2024-02-27T15:35:04Z
QYi4h3V3Fwk,UgwErkSX1SLUcSNeMnh4AaABAg,@ck_stinger9999,"이 귀한것을 쇼츠로도 즐길 수 있다니....!
살려주시옵소서!!!!",23,2024-02-27T22:33:36Z
QYi4h3V3Fwk,UgzYiegQj7kk_uEG2-V4AaABAg,@rofnql,"나 TV 없어서 수신료 취소했는데 
이거보고 수신료 신청하러 간다",10,2024-02-27T14:44:28Z
QYi4h3V3Fwk,Ugy7V0isz8TtCxFHkPl4AaABAg,@최영우-k2n,아닠ㅋㅋㅋㅋㅋㅋ 탱로그 댓글남겨진거보고 왔는데 교향악단 유툽 이런 감성 이였어? ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 놀줄 아는구만 교향악단.,10,2024-03-28T10:03:37Z
QYi4h3V3Fwk,UgyJ6MJH073FMXUuvCF4AaABAg,@abcd-jm2iq,바이올린 진짜 개빵터지네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,10,2024-05-23T17:20:50Z
QYi4h3V3Fwk,Ugzgs37dEzROaVw7alh4AaABAg,@athrun319,레퀴엠 제목에 걸맞은 치사율 100퍼센트의 철퇴 퍼포먼스.,9,2024-02-27T15:27:57Z
QYi4h3V3Fwk,UgyAt6Yjlo6UntX3eCB4AaABAg,@뚜란딴딴,충주시의 선한 영향력,187,2024-02-27T09:53:00Z
QYi4h3V3Fwk,Ugz3I0IIF8nwwrzs0ch4AaABAg,@miled7,"자 물 들어왔을때 노젓죠 ㅎ 다음은 <용의 눈물 x 바그너> 추천합니다. 위화도 회군이랑 발키리
합치면 딱일듯",92,2024-02-27T12:37:12Z
QYi4h3V3Fwk,UgyHaybrlE9D8sMKuoR4AaABAg,@아용2,궁퀘엠😂😂😂😂😂😂😂😂이 미르틴 마구니 편집자 ㅋㅋㅋㅋㅋㅋ,9,2024-02-27T14:46:33Z
QYi4h3V3Fwk,UgyyIgp5qP_dGYusMZN4AaABAg,@이스일,정성스런 쇼츠 잘봤습니다.ㅋㅋㅋㅋ,10,2024-02-27T11:06:43Z
QYi4h3V3Fwk,UgxulUdO73XLkt2IAPx4AaABAg,@Vvs5hb62j26,교향악단버전 사랑과 전쟁 기다린다구요!!,7,2024-03-01T13:02:25Z
cHw4GER-MiE,UgzLhbwMWCvPUvCpcJx4AaABAg,@samuelcole9385,"If anyone ever says classical music is boring. This is what you show them! I don’t care how good the artists of today are, this conveys power and emotion like no other.",825,2022-01-26T00:59:44Z
cHw4GER-MiE,UgzRnyR41RdYtA71POV4AaABAg,@IgnatiusSatriaWibisono,1:01 love just how nonchalantly the soloist drinks water while the conductor conducts the apocalypse,5472,2022-04-18T17:04:51Z
cHw4GER-MiE,Ugjp0RPy-4CyRngCoAEC,@panchothemonkey,The conductor's face looks like he's seen the apocalypse.,5044,2017-04-09T01:26:05Z
cHw4GER-MiE,UgyJO6JUc-Eg1rENjF94AaABAg,@hiiloveu1521,"The conductor is not just conducting an orchestra, he IS bringing judgement upon us",276,2022-08-04T17:37:44Z
cHw4GER-MiE,UgxZ20TMqlhMU5FxieV4AaABAg,@timthetechpriest8876,If this doesnt play at the end of the world im not coming,884,2022-06-05T16:40:00Z
cHw4GER-MiE,Ugymj3CmK4y56wKGPWx4AaABAg,@michaeldesanta977,"Not sure why _YouTube_ suggested this in my ""lullaby playlist"".",3125,2019-12-23T10:27:11Z
cHw4GER-MiE,Ugx62lB6cBordCXZBf54AaABAg,@walterF205,The power of this piece can only measure in megatons.,3271,2018-06-06T09:29:54Z
cHw4GER-MiE,UgzSoRkObky-3e2dc-l4AaABAg,@Diego-zz1df,"You ***NEED*** a conductor with crazy hair and a bombastic, epic personality to match the tone of this music.",2093,2021-05-03T15:45:20Z
cHw4GER-MiE,Ugz3PsfhozvcDOVSjGx4AaABAg,@kelliannelowe5270,This is the definition of having power. Like running a country is cool and all but can you imagine conducting an orchestra/choir like this?! Yoo,3523,2020-12-06T20:36:06Z
cHw4GER-MiE,UgzDAuT-wYSmIynOZEZ4AaABAg,@JohnSmith-el4ez,This piece is so relaxing. I'd definitely listen to this while studying.,4316,2022-01-14T16:50:40Z
cHw4GER-MiE,UgwBfeKX5W6VEkN6T_B4AaABAg,@gregoriocastro1288,Quello che michelangelo ha fatto con il giudizio universale nella pittura Verdi l’ha fatto in questo capolavoro..,465,2023-03-12T02:09:22Z
cHw4GER-MiE,Uggq2p0uwhaQ-ngCoAEC,@vlkolak9665,here just let me crack open this bottle of water while everything is going down 1:01,2573,2016-07-11T14:53:22Z
cHw4GER-MiE,UgwZkKZWE3sCDgoPHGB4AaABAg,@afterlyfegamer676,If my father's belt had a soundtrack,1552,2021-04-11T01:19:23Z
cHw4GER-MiE,Ugx-vYn4XzYhuyGNb194AaABAg,@anrykiknavelidze2690,The tenor reminds us at 1:01 that we should all face the apocalypse well-hydrated.,67,2025-07-20T05:50:53Z
cHw4GER-MiE,Ugw61dO-dniQwKR0BNh4AaABAg,@digionovecento9299,"This is a masterpiece, but the trumpet parts from 2:25 to 4:10 are almost beyond belief, one of the most powerful moments in music history.",532,2022-02-07T20:41:56Z
cHw4GER-MiE,Ugz-3Y983lXd9NVS8Up4AaABAg,@samdajellybeenie14,The only requiem that actually sounds like the composer is going to hell and is on his deathbed.,2062,2018-09-09T04:10:27Z
cHw4GER-MiE,UgxAulYpF0iEH2ay_8R4AaABAg,@dinerointerneteando8476,This is the true origin of heavy metal!,1943,2018-11-11T11:10:59Z
cHw4GER-MiE,UghUDXsNXtOypngCoAEC,@maksuree,new headphones... i feel like im in the cinema again,959,2016-01-06T08:27:33Z
cHw4GER-MiE,UgwFMPnTIZ4mOO89p4p4AaABAg,@anotherbiw116,as a fan of techno music i can say nothing can drop like this,956,2020-12-27T00:52:35Z
cHw4GER-MiE,Ugw29Ld6MHyrbh6Keft4AaABAg,@R4ven11,"Everyone who's commenting about conductor's face, I love it. He's full of pure passion. That's what you need. The conductor gives his energy to the entire orchestra. The energy you need in the song, originates from the conductor first before passing through everyone. even you, my dear listeners.",16,2026-01-01T19:21:13Z
cHw4GER-MiE,Ugj1UIhSvUuU9XgCoAEC,@MajesticDemonLord,Great rendition - however the Conductor does look like he has dropped several Tabs of Acid and is actually seeing the Day of Judgement happen....,7052,2016-12-05T09:42:53Z
cHw4GER-MiE,UgxzgsL__xYS-1NPR7V4AaABAg,@qqq8076,4:12 When you're searching for that mosquito that just buzzed pass your ear,409,2019-09-25T12:03:18Z
cHw4GER-MiE,UgiGP-YyI_rX43gCoAEC,@w.a.l.6037,"Listened to Beethoven's 9th 1,000 times, listened to Mozart's Requiem 500 times, listened to Bach's Mass in B minor and his Passion just as much, listened to ALL genres of music, but I must say that from 2:25 through 4:10 has to be the MOST powerful piece of music in history!!!  ",1888,2014-10-25T22:23:50Z
cHw4GER-MiE,Ugw-l-cd9aLMQwTsf4d4AaABAg,@fengxiong3687,This really is the hardest intro to any song ever.  Absolute power.,30,2023-12-25T03:03:19Z
cHw4GER-MiE,UgwbbyGa8xnoFnGsMtB4AaABAg,@ZekuChanU,"Lyrics: ""That day of wrath""
Actual Lyrics: ""Ahhhhhhhhhh eeeeeeeeEEEEEeeeeeEEEEEeeeeeEEAH""",6,2023-08-03T02:27:00Z
cHw4GER-MiE,Ugx2ZObJZZ2qEASOrMF4AaABAg,@canooo.k240,Why doesn't the algorithm show us things like this,327,2019-08-04T02:24:48Z
cHw4GER-MiE,UgwL4IsXfIGeqhiVo6d4AaABAg,@misteriofueradecontexto8204,Alguien escucha esta obra de arte en el 2023? Yo si♥️,20,2023-08-04T02:39:15Z
cHw4GER-MiE,UghbQAK2wUy0kngCoAEC,@hellogee3600,Brahms on Verdi Requiem:  “Only a genius could have written such a work”,105,2017-02-24T23:03:04Z
cHw4GER-MiE,Ugx5ZMS4wcOkfTULuGB4AaABAg,@SebsWeb,When you realize you missed the bus:,19,2025-05-15T00:06:30Z
cHw4GER-MiE,Ugyja4CYCcqJgdhAdpV4AaABAg,@suvrodeepbhowmik8958,I can guarantee everyone in the audience got goosebumps,53,2022-01-15T17:22:24Z
EnninGdp20Q,UgxjuT49-AJIByOaeeF4AaABAg,@KBS_Symphony_Orchestra,"영상 아래 ▶ 버튼을 눌러 풀버전 시청이 가능합니다

클래식 콘서트에서 생긴 진짜 광기들 모음.zip

- 딱밤
4. 딱!밤!
공연 : 롯데와 함께하는 한·일 국교정상화 60주년 기념 합동연주회(서울) KBS교향악단 X 도쿄필하모닉 오케스트라(25.3.3.)
지휘자 : 정명훈",359,2025-07-05T00:54:18Z
EnninGdp20Q,Ugx_J9--bxSUATuKWNR4AaABAg,@peterpankkh8729,저 순간에 오로지 지휘자의 손끝만 응시!! 지휘자 표정 보고 같이 웃어주는 스윗함.,2833,2025-07-06T20:03:17Z
EnninGdp20Q,Ugz94ZDRZQ8L6c-kOH14AaABAg,@작은독자-v2v,예전에 팀파니 찢어지고 멋지게 마무리하신분이죠?,5278,2025-07-05T02:40:20Z
EnninGdp20Q,UgyO9_Gcpjbi9bcmzOl4AaABAg,@skc8316,아.. 저분 진짜 대단하신 분이죠,145,2025-07-10T02:00:49Z
EnninGdp20Q,UgzVAFH9cYagCbUQQ-J4AaABAg,@Adagio-o3w,KBS 이원석 팀파니 수석♡,411,2025-07-05T08:01:29Z
EnninGdp20Q,UgyYKBLTcRb4TOoEB6R4AaABAg,@써니-z9m,"지휘자 연주자 너무 멋지다
귀여운 미소까지도~~~",67,2025-07-10T03:00:45Z
EnninGdp20Q,Ugzhi4evXIrng7IKVXF4AaABAg,@Bearmax_,저 팀파니 치는 형 잘생겼다 ㅋㅋㅋ 그리고 끝에 씨익 웃는거 너무 귀엽 ㅋㅋㅋㅋㅋ,760,2025-07-07T12:51:59Z
EnninGdp20Q,UgyKlRXiWWzsSEE8nIF4AaABAg,@dodo6481,서로 흐믓한 미소^^ 사랑입니다,44,2025-07-09T02:04:23Z
EnninGdp20Q,UgzaopasYxgBrFX4o4V4AaABAg,@아빠씩씩-w8j,저는 깔끔하게 끝내기 위해  손으로 재빨리 3개의 팀파니 진동을 제어하는게 인상깊네요.,270,2025-07-05T16:50:37Z
EnninGdp20Q,UgwNVsEAeA6KQlZ-10t4AaABAg,@Gracepianoroom,정명훈님께 인정받은 기분이 말로 표현이 안될만큼 넘 좋으시겠다^^,705,2025-07-08T10:43:24Z
EnninGdp20Q,Ugwz6wxUD5ONLftqbD94AaABAg,@랄라루리루,쾌감오진다,61,2025-07-11T07:44:03Z
EnninGdp20Q,Ugw6An_TPloamu3MnZ94AaABAg,@이리안-i8y,오 아 지렸다😮 쾌감 쩜😮,267,2025-07-08T00:23:46Z
EnninGdp20Q,Ugx6Vnrc8AQMHism5G14AaABAg,@helenpaek1727,연주도 잘 듣고 팀파니 연주자와 정명훈 지휘자의 밝은 미소도 보면서 예전에 팀파니 찢어졌던것도 떠올리면서 저도 그냥 웃게 되네요~,333,2025-07-08T21:57:40Z
EnninGdp20Q,UgwTjlreEp80XLrFZ8d4AaABAg,@주하-r1k,오늘도 그대분들이 계셔서 행복합니다❤,62,2025-07-09T04:11:47Z
EnninGdp20Q,Ugy4IkutvN1qCvrWscV4AaABAg,@박영애-t3v,"대한민국에 다시 와주셔서ㅈ감사해요
정명훈 지휘자님",71,2026-01-03T11:20:03Z
EnninGdp20Q,UgzE5D9PlVif6KoLLlZ4AaABAg,@350q8,저 순간에 느낄 연주자와 지휘자의 기분과 느낌을 상상만  해도 정말 멋찌군요👍,346,2025-07-08T11:20:06Z
EnninGdp20Q,UgwX_qxR-MpNt8IVyWx4AaABAg,@비타민디-k3o,"정명훈 지휘자님 👍🏻👍🏻
팀파님 연주와 ~웃음👍🏻👍🏻😊",149,2025-07-08T07:41:36Z
EnninGdp20Q,Ugx_45JAhAift_Fs0tF4AaABAg,@이삭사랑둥이,대박 짜릿 하네 ~~😊,128,2025-07-07T17:38:25Z
EnninGdp20Q,UgyRsIbeuRemy9PS8GN4AaABAg,@user-pr3bc2kn3d,팀파니는  행복입니다❤,96,2025-07-07T11:50:19Z
EnninGdp20Q,UgwWUV_3OjlJO7uW5ep4AaABAg,@ysjoe6879,진짜 짜릿했을거 같아,28,2025-07-08T16:35:41Z
EnninGdp20Q,UgzQmwb7-VCCAMULWnJ4AaABAg,@alloveragian8215,연주 끝내고 느끼는 만족감은 진짜 후,25,2025-07-06T22:09:24Z
EnninGdp20Q,UgwCuWdpVvnLlXTFcc14AaABAg,@몽우-p7k,칭찬해 😊,47,2025-07-09T13:31:36Z
EnninGdp20Q,Ugwg7zJaVcvbou1Xm_14AaABAg,@행복한해,"연주땐 카리스마로 압도하시는 분들이 
연주를 끝내며 보여주시는 부드러운 미소로
관객의 만족도 두배, 완벽함 세배를 만드는 거 같아요~
진짜 멋지네요!!",47,2025-07-09T03:42:30Z
EnninGdp20Q,UgwezFm_hWSPC0Xwu4l4AaABAg,@cutty4998,멋있어. 경이롭고 황홀감이 느껴짐. 소리 딱! 끝나야되니 소리울리지말라고 손 급하게 왔다갓다 잡는거 크으 완전매력터짐,70,2025-07-07T22:34:57Z
EnninGdp20Q,Ugzgtfc6WIr4yxoKQhx4AaABAg,@쏘이-m2s,티파니 저 오빠...티파니 찢어지니 조용히 신속히 조율 하던 영상 정말 멋젔는데❤,222,2025-07-08T10:52:40Z
EnninGdp20Q,UgxWiu-0RdISqzYoaeN4AaABAg,@fftsfftsffts,마지막에 딱밤맞는 화면이 연주를 가리는거 빼곤 완성도 높은 영상 ㅋㅋ 마지막 연주 장면이 가려져 아쉬움,31,2025-07-06T00:09:11Z
EnninGdp20Q,Ugx2JI_lyO9xm2_f2dp4AaABAg,@devora0301,브라보!!!,19,2025-07-07T12:51:35Z
EnninGdp20Q,Ugz6YVbHmq_hBTTB7kl4AaABAg,@kamanchensa,진짜 담당자님 미치광이(positive)시네요😊,61,2025-07-05T04:20:01Z
EnninGdp20Q,UgxVCYy_ew_2vYPwVLJ4AaABAg,@웃음꽃-i9o,참 잘하셨습니다~~❤❤❤,56,2025-07-08T21:11:06Z
EnninGdp20Q,UgyvBzZqbto4MOX4YAR4AaABAg,@난설헌-i9b,브라보 ❤,43,2025-07-06T14:55:22Z
kovibm8ZfmE,Ugzr_lnRutukgG2RuTl4AaABAg,@KBS_Symphony_Orchestra,"🥳4월 20일 만능 엔터테이너 김종민의 결혼을 축하드립니다!

- 작품 해석👇
김종민이 선사하는 혼돈🌪은 많은 음절을 필요로 하지 않는다. 🤐
현대음악에서도 쉽게 찾아볼 수 없는 무작위성이 강한 리듬은 ‘삿갓’이라는 단어 하나로 충분하며, 
이승기가 낑낑거리며 다시 4분의 4박으로 리듬을 정리했음에도 ‘사과🍎’와 간단한 몸짓만으로 자신을 포함한 모든 것을 무너뜨리고는 천국에서 낙오의 종소리🔔를 듣는다. 
그러나 그가 내뱉은 수많은 단어 중 오직 하나만이 희망을 가져왔으니…🕊
“가능한” 
아, 창조의 시작은 모방이라고 했던가…😮
마치 아이가 부모의 목소리를 따라하며 말을 깨우치듯…!
도달하고자 하는 대상을 있는 그대로 따라함으로써 무궁무진한 발전과 실현 가능성을 보여준다.

""김종민 협주곡 '가능한'""
Kim Jong-Min Concerto No.1 Op.2 'Possible'""
세계 초연 / KBS교향악단 현대곡 시리즈

- 타임 라인
0:00 1악장 : 삿갓과 사과 Allegro scherzando(26"")
0:26 2악장 : 가능한 Grandioso, con alta probabilita(34"")

작사, 작곡 - 불고기버거세트
- 인스타그램 ""불고기버거세트""에서 풀 스코어로 더욱 자세한 파트 악보들을 감상 하실 수 있습니다.",4067,2025-01-25T08:00:38Z
