perf_id,title,genre,venue_name,perf_start_date,perf_end_date,total_ticket_sales_qty,verified_video_count
PF274771,"DSAC 온 스테이지, 회신: 윤동주 귀하 [대구]",서양음악(클래식),달서아트센터 (구. 웃는얼굴아트센터) 청룡홀,2025-10-17,2025-10-17,216,1
PF233341,수원시립합창단 기획연주회,서양음악(클래식),수원SK아트리움 소공연장,2024-01-16,2024-01-16,216,2
PF252041,손없는 색시 [영덕],연극,예주문화예술회관,2024-11-30,2024-11-30,216,0
PF271896,제114회 원주시립합창단 정기연주회,서양음악(클래식),국민건강보험공단 (원주) 건강홀,2025-09-05,2025-09-05,215,1
PF253371,"첼리스타 첼로 앙상블, Farewell Concert [대구]",서양음악(클래식),대구콘서트하우스 챔버홀 (소공연장) ,2024-12-21,2024-12-21,215,0
PF243448,목 짧은 기린 지피 [춘천],뮤지컬,춘천인형극장 대극장,2024-07-27,2024-07-27,215,1
PF261941,"국립무용단, 미인 최종 드레스 리허설 공개",무용(서양/한국무용),국립극장 해오름극장,2025-04-02,2025-04-02,214,0
PF263421,"스테이지 149, 인천열전 1: 인천시립장애인예술단: 다함께, 봄",서양음악(클래식),인천문화예술회관 소공연장,2025-05-16,2025-05-16,214,0
PF267258,세기의 사나이 [해남],연극,해남문화예술회관 대공연장,2025-07-03,2025-07-03,214,0
PF277061,"남동문화재단 스포트라이트, 뉴서울필하모닉의 천상의 손끝, 거장의 선율 [인천 남동]",서양음악(클래식),남동소래아트홀 소래극장 (대공연장) ,2025-11-20,2025-11-20,214,0
PF267560,"부산시립교향악단 기획음악회, 실내악 시리즈 Ⅲ: 줌인 Ⅱ [부산]",서양음악(클래식),부산문화회관 챔버홀,2025-08-12,2025-08-12,213,0
PF289558,"토선생, 용궁가다 [제천]",한국음악(국악),제천예술의전당 대공연장,2026-05-30,2026-05-30,213,0
PF245710,벨벳토끼 [완주],한국음악(국악),완주향토예술문화회관 공연장,2024-08-23,2024-08-24,213,1
PF286765,제17회 서산시립합창단 정기연주회: 봄이 피기까지는,서양음악(클래식),서산시문화회관 대공연장,2026-03-19,2026-03-19,212,1
PF252487,문제의 숨은 곡 찾기 [김포],한국음악(국악),통진두레문화센터 두레홀,2024-11-17,2024-11-17,212,2
PF288966,"남양주시립합창단, 클래식 세계여행: 즐거운 세계 민요 여행 (4월)",서양음악(클래식),다산아트홀,2026-04-21,2026-04-21,212,0
PF273631,"대전시립연정국악단, 토요국악 (10.11)",한국음악(국악),대전시립연정국악원 작은마당,2025-10-11,2025-10-11,211,0
PF259273,대전시립연정국악원 K브런치콘서트: 우.아.한 (03.26),한국음악(국악),대전시립연정국악원 작은마당,2025-03-26,2025-03-26,211,0
PF246315,조선에서 온 리골레토 [전주],서양음악(클래식),덕진예술회관,2024-09-14,2024-09-14,211,1
PF288059,춤추는 팬더 [평창],무용(서양/한국무용),평창문화예술회관 대공연장,2026-04-29,2026-04-29,211,0
PF266676,제22회 남양주시립합창단 정기연주회: 케루비니 레퀴엠 C단조,서양음악(클래식),다산아트홀,2025-06-19,2025-06-19,210,0
PF266970,"ACC 수요극장, 알제리의 이탈리아 여인 (영상화)",서양음악(클래식),국립아시아문화전당 극장3,2025-07-02,2025-07-02,210,0
PF233394,"ACC 수요극장, 세헤라자데",서양음악(클래식),국립아시아문화전당 극장3,2024-01-17,2024-01-17,210,0
PF253548,"남양주시립합창단, 클래식 세계여행: 슈트라우스의 왈츠",서양음악(클래식),정약용도서관,2024-11-26,2024-11-26,210,0
PF244934,배소고지 이야기: 기억의 연못 [광양],연극,광양시문화예술회관 대공연장,2024-08-03,2024-08-03,210,0
