perf_id,title,genre,perf_start_date,perf_end_date,venue_name,runtime_min,company_id,total_ticket_sales_qty,season_match_status,work_group_key,season_rank,actual_group_size,runtime_missing
PF249660,한빛오케스트라와 함께하는 희망음악회 [산청],서양음악(클래식),2024-10-17,2024-10-17,산청문화예술회관 대공연장,95.0,FC000884,192,matched,한빛오케스트라와 함께하는 희망음악회::cast0,1.0,2,False
PF252309,"강동예술인페스티벌, 구립무용단",무용(서양/한국무용),2024-10-26,2024-10-26,강동아트센터 소극장 드림,60.0,FC000028,192,unmatched,,,1,False
PF252078,대단한 놀이판: 오늘의 광대 [밀양],한국음악(국악),2024-11-16,2024-11-16,밀양아리랑아트센터 대공연장,70.0,FC001675,192,unmatched,,,1,False
PF247486,말뚝이 가라사대 [울산],서양음악(클래식),2024-10-11,2024-10-11,울산중구문화의전당 함월홀 (2층) ,78.0,FC001328,192,matched,말뚝이 가라사대::cast0,2.0,3,False
PF271656,춤추는 은빛 초상화 [하남],연극,2025-09-06,2025-09-06,하남문화예술회관 아랑홀(소극장),90.0,FC000095,192,matched,춤추는 은빛 초상화::cast0,1.0,3,False
PF245463,눈으로 보자 귀로 듣자 타악기야 놀자! [인천],서양음악(클래식),2024-08-21,2024-08-21,청라복합문화센터 블루노바홀 공연장,70.0,FC002833,192,unmatched,,,1,False
PF263621,"대전시립교향악단 디스커버리 시리즈4, 시네마 클래식 [대전]",서양음악(클래식),2025-05-08,2025-05-09,대전예술의전당 앙상블홀,90.0,FC000076,192,unmatched,,,1,False
PF264279,성악단 정기공연: 가락송송 [부산],한국음악(국악),2025-05-30,2025-05-31,국립부산국악원 연악당,70.0,FC000730,192,unmatched,,,1,False
PF245040,보물섬을 찾아 떠나보세! [연천],한국음악(국악),2024-08-30,2024-08-30,연천수레울아트홀 대공연장,60.0,FC000142,191,matched,보물섬을 찾아 떠나보세!::cast0,4.0,3,False
PF263431,"ASAC 클래식, 김영욱 X 콜레기움무지쿰: 8 Seasons [안산]",서양음악(클래식),2025-06-21,2025-06-21,안산문화예술의전당 달맞이극장,110.0,FC000018,191,unmatched,,,1,False
PF225115,조상님께 바치는 댄스 [대구],무용(서양/한국무용),2023-10-14,2023-10-15,대구문화예술회관 팔공홀,70.0,FC000191,191,matched,조상님께 바치는 댄스::cast0,2.0,3,False
PF239962,에코백 [보성],복합,2024-05-14,2024-05-14,보성군문화예술회관,60.0,FC001398,191,unmatched,,,1,False
PF237576,"광주시립합창단 기획연주회 Ⅱ: 합창을 화합의 장으로, 합창을 화합의 도구로",서양음악(클래식),2024-04-16,2024-04-16,전일빌딩245 다목적강당,85.0,FC003791,191,unmatched,,,1,False
PF291384,강아지똥 [부산],연극,2026-06-20,2026-06-20,부산민주공원 공연장 큰방(중극장),50.0,FC000853,191,matched,강아지똥|극단 모시는사람들::극단 모시는사람들,5.0,3,False
PF277525,대전시립합창단 기획연주회 Ⅶ. 세계음악시리즈: 재즈 인 블루,복합,2025-11-14,2025-11-14,대전예술의전당 앙상블홀,70.0,FC000076,191,unmatched,,,1,False
PF271819,조상님께 바치는 댄스 [진주],무용(서양/한국무용),2025-10-24,2025-10-24,경상남도문화예술회관 대공연장,80.0,FC001701,191,unmatched,,,1,False
PF288706,"국립남도국악원 토요상설: 국악이 좋다, 가무극 날 좀 보소",한국음악(국악),2026-05-09,2026-05-09,국립남도국악원 진악당,70.0,FC000030,190,unmatched,,,1,False
PF270149,제31회 강원특별자치도립 국악관현악단 정기연주회 [태백],한국음악(국악),2025-08-13,2025-08-13,태백문화예술회관 대공연장,90.0,FC000375,190,unmatched,,,1,False
PF244466,신 별주부전 [천안],서양음악(클래식),2024-09-12,2024-09-12,천안예술의전당 대공연장,75.0,FC001383,189,matched,신 별주부전::cast0,3.0,2,False
PF278265,"대전시립교향악단 디스커버리 시리즈 7, 신인발굴 음악회 [대전]",서양음악(클래식),2025-11-12,2025-11-12,대전예술의전당 앙상블홀,90.0,FC000076,189,unmatched,,,1,False
PF272329,"대전시립연정국악원 K브런치 콘서트, 우.아.한: 도치 (10.29)",한국음악(국악),2025-10-29,2025-10-29,대전시립연정국악원 작은마당,70.0,FC001415,189,unmatched,,,1,False
PF290288,판소리 시 (詩) 네마 오페라: 소월 [인천],복합,2026-05-29,2026-05-30,문학시어터,,FC000600,189,unmatched,,,1,True
PF245058,"국립현대무용단, 코레오 커넥션 1: 박재현 수선되는 밤 X 정진아 아니요, 네 [세종]",무용(서양/한국무용),2024-09-25,2024-09-25,세종예술의전당 대공연장,90.0,FC002877,189,unmatched,,,1,False
PF250292,제75회 부산시립청소년교향악단 정기연주회,서양음악(클래식),2024-11-29,2024-11-29,부산문화회관 대극장,,FC000167,188,unmatched,,,1,True
PF246273,"제24회 SPAF, 미나미무라 치사토: 침묵 속에 기록된",무용(서양/한국무용),2024-10-17,2024-10-18,아르코예술극장 소극장,50.0,FC002632,188,unmatched,,,1,False
PF251575,구구 [광주],뮤지컬,2024-11-02,2024-11-02,광산문화예술회관 공연장,60.0,FC000849,188,unmatched,,,1,False
PF261073,올라비올라의 B to B [연천],서양음악(클래식),2025-04-12,2025-04-12,연천수레울아트홀 대공연장,90.0,FC000142,188,matched,올라비올라의 B to B::cast2,1.0,3,False
PF289218,"사물놀이 몰개, Sound Project: 파랑 [충주]",한국음악(국악),2026-04-30,2026-04-30,충주시문화회관,80.0,FC000405,188,matched,사물놀이 몰개 Sound Project: 파랑::사물놀이 몰개,3.0,1,False
PF252550,"전남도립국악단 교류공연, 국악이음: 광주시립창극단",한국음악(국악),2024-11-16,2024-11-16,남도소리울림터,70.0,FC001396,188,unmatched,,,1,False
PF254563,한빛오케스트라와 함께하는 희망음악회 [구리],서양음악(클래식),2024-12-07,2024-12-07,구리아트홀 코스모스대극장,100.0,FC001196,187,matched,한빛오케스트라와 함께하는 희망음악회::cast0,2.0,2,False
PF287131,오즈의 마법사: 도로시의 모험 [전주],무용(서양/한국무용),2026-04-04,2026-04-04,전주대사습청(구.전주소리문화관) 놀이마당(야외마당),70.0,FC001517,187,unmatched,,,1,False
PF241359,모차르트의 마법 바이올린 [남해],서양음악(클래식),2024-06-04,2024-06-04,남해문화센터 (구. 남해군문화체육센터) 다목적홀,50.0,FC001192,186,unmatched,,,1,False
PF275926,"국립남도국악원 토요상설, 국악이 좋다: 소고 놀음 허튼",한국음악(국악),2025-11-01,2025-11-01,국립남도국악원 진악당,70.0,FC000030,186,unmatched,,,1,False
PF272317,춘향전 [함양],서양음악(클래식),2025-09-12,2025-09-12,함양문화예술회관 대공연장,90.0,FC000585,186,unmatched,,,1,False
PF244176,패스 [광주],연극,2024-07-20,2024-07-20,광산문화예술회관 공연장,90.0,FC000849,186,matched,패스|극단 산::극단 산,3.0,3,False
PF244670,배소고지 이야기: 기억의 연못 [논산],연극,2024-07-19,2024-07-20,논산아트센터(구. 논산문화예술회관) 대공연장,100.0,FC001182,185,matched,배소고지 이야기: 기억의 연못::cast0,1.0,5,False
PF244793,쾌도난장 [고흥],한국음악(국악),2024-07-26,2024-07-27,고흥문화회관 김연수실,60.0,FC000742,185,unmatched,,,1,False
PF246254,"운수대통: 젊은 것들아, 잘봐라 우리도 할 수 있어 [사천]",연극,2024-08-22,2024-08-22,사천문화예술회관 대공연장,85.0,FC000578,185,unmatched,,,1,False
PF252907,제184회 원주시립교향악단 정기연주회,서양음악(클래식),2024-11-15,2024-11-15,원주치악예술관,90.0,FC000365,185,unmatched,,,1,False
PF265112,"MODAFE, Center Stage of Korea #2: National Dance Company",무용(서양/한국무용),2025-06-15,2025-06-15,아르코예술극장 대극장,80.0,FC002632,185,unmatched,,,1,False
PF262145,선녀씨 이야기 [대전],연극,2025-05-02,2025-05-02,대전시립연정국악원 작은마당,80.0,FC001415,185,matched,선녀씨 이야기::cast1,3.0,2,False
PF237142,소리판 완창무대,한국음악(국악),2024-03-09,2024-10-12,국립민속국악원 예음헌,360.0,FC001316,185,unmatched,,,1,False
PF272213,"리: 바운드 축제, 개똥이와 무등산 호랑이",한국음악(국악),2025-11-02,2025-11-02,노원어린이극장 (구.노원어울림극장) 노원어린이극장 (구.노원어울림극장) ,60.0,FC001791,185,unmatched,,,1,False
PF251742,"강동예술인페스티벌, 구립국악관현악단",한국음악(국악),2024-10-20,2024-10-20,강동아트센터 소극장 드림,80.0,FC000028,184,unmatched,,,1,False
PF285282,수원시립합창단 기획연주회: 지루할 틈이 없는 콘서트 Ⅰ [수원],서양음악(클래식),2026-03-05,2026-03-05,수원SK아트리움 소공연장,75.0,FC001438,184,unmatched,,,1,False
PF224898,슬리핑 뷰티 [충주],무용(서양/한국무용),2023-09-15,2023-09-16,충주시문화회관,60.0,FC000405,184,unmatched,,,1,False
PF279775,"대전시립교향악단 마스터즈 시리즈11, 송년음악회: 합창 [대전]",서양음악(클래식),2025-12-16,2025-12-16,대전시립연정국악원 큰마당,115.0,FC001415,184,unmatched,,,1,False
PF277814,"화요국악무대, 허튼가락 산조 [대구]",서양음악(클래식),2025-11-25,2025-11-25,대구문화예술회관 비슬홀,60.0,FC000191,184,unmatched,,,1,False
PF288302,조선 그리고 지금 [전주],무용(서양/한국무용),2026-04-25,2026-04-25,전주대사습청(구.전주소리문화관) 놀이마당(야외마당),70.0,FC001517,183,unmatched,,,1,False
PF274124,"국립남도국악원 토요상설, 국악이 좋다: 국악의 향연",한국음악(국악),2025-10-18,2025-10-18,국립남도국악원 진악당,70.0,FC000030,183,unmatched,,,1,False
PF265274,무명호걸 [포천],뮤지컬,2025-06-13,2025-06-13,포천반월아트홀 대극장,95.0,FC000612,183,matched,무명호걸|::cast1,1.0,3,False
PF273814,"ACC 수요극장, 브람스 교향곡 4번 (영상화)",서양음악(클래식),2025-10-01,2025-10-01,국립아시아문화전당 극장3,45.0,FC001270,183,unmatched,,,1,False
PF275928,"국립남도국악원 토요상설, 국악이 좋다: 끝: 판",한국음악(국악),2025-11-08,2025-11-08,국립남도국악원 진악당,70.0,FC000030,183,unmatched,,,1,False
PF275931,"국립남도국악원 토요상설, 국악이 좋다: 국악의 향연",한국음악(국악),2025-11-15,2025-11-15,국립남도국악원 진악당,70.0,FC000030,183,unmatched,,,1,False
PF276427,김영욱 x 콜레기움 무지쿰 서울: 8 Seasons [부산],서양음악(클래식),2025-12-06,2025-12-06,금정문화회관 대공연장(금빛누리홀),120.0,FC000160,183,unmatched,,,1,False
PF272319,"국립남도국악원 토요상설, 국악이 좋다: 광대",한국음악(국악),2025-09-06,2025-09-06,국립남도국악원 진악당,70.0,FC000030,182,unmatched,,,1,False
PF237755,제179회 원주시립교향악단 정기연주회,서양음악(클래식),2024-04-12,2024-04-12,원주치악예술관,90.0,FC000365,182,unmatched,,,1,False
PF253459,인간탐구생활 [영천],뮤지컬,2024-11-23,2024-11-23,영천시민회관 스타홀,90.0,FC000546,182,matched,인간탐구생활::cast0,1.0,1,False
PF235042,제177회 원주시립교향악단 정기연주회,서양음악(클래식),2024-02-23,2024-02-23,원주백운아트홀,90.0,FC000676,182,unmatched,,,1,False
PF263292,백조의 호수 [완주],무용(서양/한국무용),2025-05-10,2025-05-10,완주향토예술문화회관 공연장,70.0,FC000460,182,unmatched,,,1,False
PF237010,제178회 원주시립교향악단 정기연주회,서양음악(클래식),2024-03-29,2024-03-29,원주치악예술관,90.0,FC000365,182,unmatched,,,1,False
PF273505,브라스 무브먼트 [전남 무안],서양음악(클래식),2025-09-27,2025-09-27,남도소리울림터,90.0,FC001396,182,matched,브라스 무브먼트::cast0,3.0,1,False
PF288282,"대전시립연정국악단, 토요국악 (04.25)",한국음악(국악),2026-04-25,2026-04-25,대전시립연정국악원 작은마당,60.0,FC001415,182,unmatched,,,1,False
PF264912,"ACC 수요극장, 만선 (영상화)",연극,2025-06-04,2025-06-04,국립아시아문화전당 극장3,111.0,FC001270,181,unmatched,,,1,False
PF239854,"춘천시립인형극단, 이머시브 오브제극 미토의 고백",연극,2024-05-22,2024-05-26,KT&G 상상마당 [춘천] 사운드홀,50.0,FC001409,181,unmatched,,,1,False
PF287546,"남동문화재단 N-Pick, 국립현대무용단, 얍!얍!얍! [인천]",무용(서양/한국무용),2026-04-17,2026-04-18,남동소래아트홀 소래극장 (대공연장) ,55.0,FC000214,181,unmatched,,,1,False
PF274519,"대전시립교향악단 마스터즈 시리즈 10, 엘가 교향곡 제1번",서양음악(클래식),2025-10-21,2025-10-21,대전시립연정국악원 큰마당,100.0,FC001415,181,unmatched,,,1,False
PF272314,탐라순력도: 다채로운 꿈 [제주 서귀포],복합,2025-09-06,2025-09-06,김정문화회관,60.0,FC000915,181,unmatched,,,1,False
PF287439,말린 고추와 복숭아향 립스틱 [대전],연극,2026-06-26,2026-06-27,대전예술의전당 앙상블홀,,FC000076,181,unmatched,,,1,True
PF292355,판타스틱 [여수],뮤지컬,2026-06-20,2026-06-20,여수시민회관 대공연장,70.0,FC001242,180,unmatched,,,1,False
PF251947,"부산시립교향악단 기획음악회, 부산시향의 심야음악회",서양음악(클래식),2024-12-06,2024-12-06,부산문화회관 중극장,,FC000167,180,unmatched,,,1,True
PF234711,"대전시립교향악단 디스커버리 시리즈2, 화이트데이 콘서트",서양음악(클래식),2024-03-14,2024-03-15,대전예술의전당 앙상블홀,80.0,FC000076,180,unmatched,,,1,False
PF268435,이별의 말도 없이 [예산],연극,2025-07-12,2025-07-12,예산문예회관,70.0,FC000435,180,matched,이별의 말도 없이::극단 홍시,2.0,1,False
PF243614,제182회 원주시립교향악단 정기연주회,서양음악(클래식),2024-07-11,2024-07-11,원주치악예술관,90.0,FC000365,180,unmatched,,,1,False
PF274923,In search of PARADISE: 낙원을 찾아서 [울산],무용(서양/한국무용),2025-10-23,2025-10-23,울산북구문화예술회관 공연장,60.0,FC000084,180,matched,In search of PARADISE: 낙원을 찾아서::cast0,4.0,4,False
PF268142,자라는 자라 [평창],한국음악(국악),2025-07-15,2025-07-15,평창문화예술회관 대공연장,60.0,FC000379,179,unmatched,,,1,False
PF266033,흥보 마누라 이혼소송 사건 [과천],한국음악(국악),2025-06-21,2025-06-21,과천시민회관 소극장,90.0,FC000808,179,matched,흥보 마누라 이혼소송 사건::cast0,2.0,1,False
PF244056,가장무도 [안동],한국음악(국악),2024-09-27,2024-09-27,안동문화예술의전당 백조홀,,FC000537,179,unmatched,,,1,True
PF276946,타악기로 듣는 전람회의 그림 [제주],서양음악(클래식),2025-11-02,2025-11-02,김정문화회관,60.0,FC000915,179,unmatched,,,1,False
PF215689,12인의 성난 사람들 [광주],연극,2023-04-14,2023-04-15,공연일번지,90.0,FC001286,179,matched,12인의 성난 사람들::cast2,1.0,2,False
PF241408,종이꽃밭: 두할망본풀이 [수원],한국음악(국악),2024-06-14,2024-06-15,정조테마공연장,75.0,FC003664,178,matched,종이꽃밭: 두할망본풀이::판소리아지트 놀애박스,1.0,8,False
PF288356,"남양주시립합창단, 상상더이상 음악회",서양음악(클래식),2026-04-11,2026-04-11,화도수동행정복지센터 천마홀(다목적공연장),60.0,FC002099,178,matched,남양주시립합창단 상상더이상 음악회::남양주시립합창단,4.0,4,False
PF276774,신데렐라의 모래이야기 [완주],서양음악(클래식),2025-11-07,2025-11-07,완주향토예술문화회관 공연장,80.0,FC000460,178,matched,신데렐라의 모래이야기::(주)콘텐츠컬쳐플레이스,4.0,3,False
PF276781,"수원시립합창단 기획연주회: Unison, 우리의 노래",서양음악(클래식),2025-11-05,2025-11-05,수원SK아트리움 대공연장,120.0,FC001438,178,unmatched,,,1,False
PF236247,"부산시립교향악단 기획음악회, 미완성 음악회 Ⅰ",서양음악(클래식),2024-04-18,2024-04-18,부산문화회관 대극장,,FC000167,177,matched,부산시립교향악단 기획음악회 미완성 음악회 Ⅰ::부산시립교향악단 기획음악회,2.0,1,True
PF236625,"광주시립창극단, 판소리 감상회",한국음악(국악),2024-03-27,2024-03-27,광주 예술의 전당 소극장,70.0,FC000233,176,matched,광주시립창극단 판소리 감상회::광주시립창극단,1.0,3,False
