returncode,errmsg,responsetime,_query_date,genre_code,genre_name
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:38,20251001,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:39,20251001,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:42,20251101,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:42,20251101,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:43,20251101,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:43,20251101,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:44,20251101,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:44,20251101,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:45,20251101,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:47,20251201,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:48,20251201,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:48,20251201,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:49,20251201,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:49,20251201,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:50,20251201,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:51,20251201,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:53,20260101,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:53,20260101,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:53,20260101,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:54,20260101,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:54,20260101,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:55,20260101,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:58,20260101,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:07:59,20260201,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:00,20260201,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:00,20260201,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:01,20260201,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:01,20260201,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:01,20260201,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:02,20260201,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:03,20260301,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:04,20260301,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:04,20260301,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:05,20260301,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:05,20260301,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:05,20260301,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:06,20260301,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:08,20260401,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:08,20260401,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:08,20260401,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:09,20260401,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:09,20260401,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:10,20260401,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:10,20260401,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:12,20260501,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:12,20260501,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:12,20260501,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:13,20260501,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:13,20260501,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:14,20260501,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:14,20260501,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:16,20260601,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:16,20260601,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:17,20260601,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:17,20260601,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:17,20260601,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:18,20260601,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:19,20260601,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:20,20260701,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:21,20260701,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:21,20260701,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:21,20260701,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:22,20260701,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:22,20260701,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:23,20260701,EEEA,서커스/마술
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:24,20260801,AAAA,연극
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:25,20260801,BBBC,뮤지컬
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:25,20260801,BBBD,오페라
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:26,20260801,BBBE,클래식
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:26,20260801,BBBF,무용
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:26,20260801,BBGG,국악
01,INVALID REQUEST PARAMETER ERROR,2026-08-09 12:08:27,20260801,EEEA,서커스/마술
