video_id,matched_perf_id,matched_title,video_title,high_confidence_other_work,low_confidence_other_work,video_url,confidence
OViDaDjmi7k,PF266164,"국립창극단, 토선생, 용궁가다 [용인]",250430 #토선생용궁가다 커튼콜 #소리꾼김준수 #소리꾼유태평양 #소리꾼이광복 #청년단원 #국립창극단,,"[('PF263228', '토선생 용궁가다'), ('PF243712', '토선생 용궁가다')]",https://www.youtube.com/watch?v=OViDaDjmi7k,low
8SNVDDmnBtE,PF266164,"국립창극단, 토선생, 용궁가다 [용인]",250501 #토선생용궁가다 @제주 막공 커튼콜 &amp; 앵콜 제주민요 너영나영 #소리꾼김준수 #소리꾼유태평양 #소리꾼이광복 #국립창극단,,"[('PF263228', '토선생 용궁가다'), ('PF243712', '토선생 용궁가다')]",https://www.youtube.com/watch?v=8SNVDDmnBtE,low
1eHFZwvjOqU,PF243712,"국립창극단, 토선생 용궁가다 [음성]",20240710 소리꾼김준수 - 창극콘서트 토선생 용궁가다 음성 커튼콜 인사 &amp; 앵콜 진도아리랑 in 음성문화예술회관,,"[('PF269537', '용궁가다'), ('PF266164', '용궁가다'), ('PF274329', '용궁가다')]",https://www.youtube.com/watch?v=1eHFZwvjOqU,low
eBKvWcDd9zU,PF243712,"국립창극단, 토선생 용궁가다 [음성]",#현역가왕2#소리꾼#김준수#창극 콘서트-토선생 용궁가다 #커튼콜#진도아리랑#소리꾼 김준수#유태평양#이광복#판소리#k팝#소리꾼#음성문화예술회관#,,"[('PF230602', '리어'), ('PF269537', '용궁가다'), ('PF266164', '용궁가다'), ('PF274329', '용궁가다')]",https://www.youtube.com/watch?v=eBKvWcDd9zU,low
BA2VQeN6XR8,PF243712,"국립창극단, 토선생 용궁가다 [음성]","240713 창극콘서트 &#39;토선생, 용궁 가다&#39; 커튼콜",,"[('PF269537', '용궁가다'), ('PF266164', '용궁가다'), ('PF274329', '용궁가다')]",https://www.youtube.com/watch?v=BA2VQeN6XR8,low
-SFB5BEW4ZM,PF243712,"국립창극단, 토선생 용궁가다 [음성]",#토선생용궁가다 #소리꾼 김준수#유태평양 #국립국악원 #판소리#창극#국악#김다현#김보곤 스승님#현역가왕2#김준수,,"[('PF230602', '리어'), ('PF269537', '용궁가다'), ('PF266164', '용궁가다'), ('PF274329', '용궁가다')]",https://www.youtube.com/watch?v=-SFB5BEW4ZM,low
48O5bCfCaaE,PF266164,"국립창극단, 토선생, 용궁가다 [용인]",240710 #토선생용궁가다 @음성 앵콜 #소리꾼김준수 외 #국립창극단,,"[('PF263228', '토선생 용궁가다'), ('PF243712', '토선생 용궁가다')]",https://www.youtube.com/watch?v=48O5bCfCaaE,low
1uk5WaCBdFA,PF257791,이희문 프로젝트: 오방신과 스팽글 [안성],[앵앵콜] 이희문 &#39;지화자 좋아&#39; (임을 그려 애태우다가~) ㅣ안성맞춤아트홀 (250222),,"[('PF288988', '오방신과')]",https://www.youtube.com/watch?v=1uk5WaCBdFA,low
oOQmODBQBBw,PF274125,"국립남도국악원 토요상설, 국악이 좋다: 채정례본 진도씻김굿",251025 토요상설공연 진도 삼례 시리즈 3 “채정례 탄생 100주년 기획공연 ‘채정례를 기억하다-채정례본 진도씻김굿’”,,"[('PF287666', '씻김굿')]",https://www.youtube.com/watch?v=oOQmODBQBBw,low
KFBqz6pqZpI,PF279311,"국립극단, 반야 아재",연극 데뷔 이서진·고아성 &#39;바냐삼촌&#39;이 빵 터지는 이유 | 안톤 체호프 | 반야 아재 | 심은경 | 조성하 | 모자무싸 | 나의 해방일지 | 나의 아저씨 | 햄릿,,"[('PF242516', '햄릿')]",https://www.youtube.com/watch?v=KFBqz6pqZpI,low
